"","myAUC","avg_diff","power","avg_log2FC","pct.1","pct.2","cluster","gene"
"1",0.756,1.43288241457287,0.512,16.0941035536379,0.513,0,"17","ISLR"
"2",0.79,3.02898954679963,0.58,14.052640949136,0.581,0,"17","SFRP2"
"3",0.758,2.16534322598195,0.516,13.804552922169,0.517,0,"17","SOD3"
"4",0.731,1.25918590248215,0.462,13.4882016453381,0.462,0,"17","COL12A1"
"5",0.788,3.51948636894736,0.576,12.9401094011908,0.576,0.001,"17","COL3A1"
"6",0.83,3.51719703438082,0.66,12.6589412510337,0.661,0.002,"17","COL1A2"
"7",0.754,2.62780418839299,0.508,12.6400877457453,0.508,0.001,"17","MFAP4"
"8",0.765,2.08932689192582,0.53,12.4917972542718,0.53,0,"17","PLAC9"
"9",0.832,3.78129475457644,0.664,12.2528272239537,0.665,0.002,"17","MGP"
"10",0.985,4.03672476758433,0.97,12.2131426769478,0.969,0.002,"11","CPA3"
"11",0.815,2.48359942056851,0.63,12.1500689937598,0.631,0.001,"17","RARRES2"
"12",0.897,3.03745587777565,0.794,12.0711961477794,0.794,0.001,"11","TPSD1"
"13",0.994,4.84865331447481,0.988,12.0645888391284,0.989,0.005,"11","TPSAB1"
"14",0.713,1.04428006819488,0.426,12.0549198874021,0.426,0,"16","SHD"
"15",0.705,1.06863514135738,0.41,12.0418553488608,0.411,0,"17","SULF1"
"16",0.987,4.40067223611096,0.974,11.9905669939558,0.975,0.004,"11","TPSB2"
"17",0.789,3.63378421490063,0.578,11.8544628343978,0.581,0.003,"17","COL1A1"
"18",0.897,2.57996213062905,0.794,11.7654918418328,0.795,0.001,"11","GATA2"
"19",0.784,1.80617426988683,0.568,11.7639687560957,0.568,0.001,"17","EFEMP1"
"20",0.79,2.85525058043947,0.58,11.6852967435925,0.581,0.002,"17","FBLN1"
"21",0.701,1.92772369672004,0.402,11.535865865904,0.403,0.001,"17","CLEC3B"
"22",0.862,2.25569888041373,0.724,11.4932324561064,0.725,0.001,"11","MS4A2"
"23",0.856,2.41283821328375,0.712,11.3879238112206,0.712,0.002,"17","CYR61"
"24",0.722,0.726424684403687,0.444,11.1321111389935,0.445,0,"17","LAMA4"
"25",0.746,1.57893407947075,0.492,11.1044229285426,0.492,0.001,"17","THY1"
"26",0.764,1.55698336091585,0.528,11.0959861084103,0.528,0,"11","AL157895.1"
"27",0.827,4.31011660334667,0.654,11.0908849132314,0.657,0.004,"17","DCN"
"28",0.818,1.53031482713088,0.636,10.9821558724181,0.636,0.001,"17","FBN1"
"29",0.803,2.10234695387889,0.606,10.8428550005869,0.606,0.001,"17","CTGF"
"30",0.796,1.99807350369041,0.592,10.79064149629,0.593,0.001,"17","BGN"
"31",0.743,1.01941571797413,0.486,10.7335851181699,0.487,0,"17","MXRA8"
"32",0.843,1.83380459645762,0.686,10.7144864399672,0.686,0.001,"17","FSTL1"
"33",0.779,2.06699249093539,0.558,10.5793667715149,0.559,0.002,"17","CCDC80"
"34",0.724,0.917353627455602,0.448,10.367319037147,0.449,0.001,"16","CLEC4C"
"35",0.765,1.10537421319079,0.53,10.3236091164917,0.53,0.001,"17","PDLIM3"
"36",0.807,2.01842756447872,0.614,10.2138273074324,0.615,0.001,"11","HDC"
"37",0.879,2.16960453435828,0.758,10.0680543008748,0.758,0.002,"17","NNMT"
"38",0.724,1.53974769879264,0.448,10.0438280362294,0.449,0.001,"17","RAMP2"
"39",0.814,1.81085050121284,0.628,10.0139567133127,0.629,0.001,"16","SCT"
"40",0.705,0.939590272716471,0.41,9.94887486748472,0.411,0.001,"16","PTCRA"
