"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CD8A",0,1.72537437083677,0.843,0.401,0,"0","CD8A"
"GZMA",0,1.82094645843795,0.972,0.54,0,"0","GZMA"
"GNLY",0,1.21097923490991,0.795,0.37,0,"0","GNLY"
"TRBV28",0,2.63238477250681,0.544,0.132,0,"0","TRBV28"
"NKG7",0,1.45551452557909,0.944,0.539,0,"0","NKG7"
"CXCL13",0,1.03728750692737,0.664,0.274,0,"0","CXCL13"
"GZMB",0,1.16684308657642,0.855,0.465,0,"0","GZMB"
"LINC01871",0,2.21004604168943,0.629,0.272,0,"0","LINC01871"
"CCL5",0,1.18719919803611,0.964,0.608,0,"0","CCL5"
"TRAV4",0,2.97523852782408,0.438,0.104,0,"0","TRAV4"
"CD8B",0,1.6447301323304,0.639,0.317,0,"0","CD8B"
"GZMH",0,1.61176708140164,0.609,0.319,0,"0","GZMH"
"ALOX5AP",0,1.18680870352132,0.763,0.521,0,"0","ALOX5AP"
"TRGV10",0,2.69012914014474,0.273,0.07,0,"0","TRGV10"
"CD7",0,0.974875738274484,0.915,0.763,0,"0","CD7"
"CD3D",0,1.13486132068364,0.908,0.777,0,"0","CD3D"
"HCST",0,0.905795487378513,0.762,0.658,0,"0","HCST"
"CRIP1",0,0.876515326826093,0.939,0.848,0,"0","CRIP1"
"IFITM2",0,0.766512352330849,0.87,0.793,0,"0","IFITM2"
"GAPDH",0,0.739036071414545,0.984,0.928,0,"0","GAPDH"
"RPS26",0,0.554150766601462,0.984,0.938,0,"0","RPS26"
"SH3BGRL3",0,0.645156023472019,0.965,0.938,0,"0","SH3BGRL3"
"RPS27",6.54191752273988e-304,0.357449624855013,0.996,0.99,2.1940282987765e-299,"0","RPS27"
"ACTB",1.21451426415465e-301,0.397885805091244,0.998,0.994,4.07323793912187e-297,"0","ACTB"
"FKBP1A",7.88187136996763e-291,1.12892259640603,0.654,0.539,2.64342202005974e-286,"0","FKBP1A"
"CCL3",1.96841516052051e-278,1.019526786029,0.482,0.249,6.60167076535368e-274,"0","CCL3"
"AC243829.4",2.8136584773797e-268,2.2767117251671,0.256,0.096,9.43644780143605e-264,"0","AC243829.4"
"TRBC1",2.05989941352022e-253,1.18707548196811,0.56,0.383,6.90849065306412e-249,"0","TRBC1"
"CD3E",5.46208065402973e-251,0.589623804707704,0.888,0.857,1.83187260974849e-246,"0","CD3E"
"TMSB4X",5.7976005884521e-250,0.300281298355154,0.999,0.998,1.94439928535507e-245,"0","TMSB4X"
"PRF1",2.87064670382042e-247,1.12519686964804,0.557,0.371,9.62757491527294e-243,"0","PRF1"
"ACP5",4.56063723278333e-215,1.19661019639209,0.512,0.355,1.52954651513087e-210,"0","ACP5"
"IFITM1",3.46250287190892e-209,0.503458178280257,0.932,0.839,1.16125421318081e-204,"0","IFITM1"
"IFNG",2.30936076227031e-193,0.837778233164609,0.504,0.317,7.74513412450218e-189,"0","IFNG"
"LAG3",6.02142949978887e-193,1.06479363292935,0.503,0.342,2.01946702563919e-188,"0","LAG3"
"CCL4",1.64301560140437e-187,0.256033382319745,0.68,0.464,5.51034572398996e-183,"0","CCL4"
"PFN1",6.85502893098266e-187,0.368877421652549,0.972,0.953,2.29903960287296e-182,"0","PFN1"
"RPL12",8.26139152639975e-184,0.367624051802041,0.973,0.972,2.77070549012395e-179,"0","RPL12"
"TIGIT",9.66922761548426e-182,1.01359847539136,0.568,0.45,3.24286555768111e-177,"0","TIGIT"
"ATP5F1E",2.08399217296212e-167,0.451920949638442,0.897,0.897,6.98929294968036e-163,"0","ATP5F1E"
"LINC02195",2.86089116314553e-166,1.8123145382619,0.295,0.159,9.59485678295746e-162,"0","LINC02195"
"CFL1",3.78862212845997e-164,0.450782915483376,0.902,0.889,1.2706280894429e-159,"0","CFL1"
"CTSW",1.80186923688647e-158,0.989030796417488,0.377,0.216,6.04310904666984e-154,"0","CTSW"
"TMA7",5.91596877407443e-138,0.54223705054567,0.786,0.793,1.98409760744908e-133,"0","TMA7"
"RGS1",1.90074800486547e-137,0.343901450237651,0.808,0.71,6.37472865871781e-133,"0","RGS1"
"PLPP1",1.51918541494093e-136,1.79348525450526,0.26,0.142,5.09504404462888e-132,"0","PLPP1"
"MYL6",3.13773654795229e-133,0.397098914143787,0.897,0.885,1.05233408345224e-128,"0","MYL6"
"EVL",2.44532199526108e-131,0.77070906908062,0.625,0.584,8.20112090770661e-127,"0","EVL"
"COTL1",8.55941532686137e-125,0.529248186675969,0.75,0.681,2.87065671232277e-120,"0","COTL1"
"CLEC2B",6.14524446227633e-122,0.811343479365116,0.549,0.458,2.06099208775824e-117,"0","CLEC2B"
"APOBEC3G",2.52423290073575e-121,1.15469290796776,0.44,0.343,8.46577230248756e-117,"0","APOBEC3G"
"PSMB9",7.18922585528234e-117,0.595541590578714,0.69,0.659,2.41112256734459e-112,"0","PSMB9"
"PTPN6",1.65507562733866e-114,1.42537826067587,0.343,0.24,5.55079263896839e-110,"0","PTPN6"
"CST7",1.74615248387246e-111,0.608290611822746,0.666,0.597,5.85624620041146e-107,"0","CST7"
"GSTP1",6.38534812877703e-105,0.942049460991731,0.454,0.365,2.14151805542924e-100,"0","GSTP1"
"MIF",6.53867937564416e-102,0.458902517432068,0.792,0.796,2.19294228900354e-97,"0","MIF"
"ARPC2",7.29742839573629e-98,0.471813939688033,0.765,0.754,2.44741153536204e-93,"0","ARPC2"
"CORO1A",9.86136903720602e-97,0.510947051844906,0.737,0.724,3.30730594769816e-92,"0","CORO1A"
"PAXX",5.78119248369633e-96,0.83860843496878,0.543,0.511,1.93889633518208e-91,"0","PAXX"
"UBL5",3.63061181350669e-95,0.5760214600085,0.661,0.67,1.21763459001387e-90,"0","UBL5"
"PTPRCAP",2.73415516474023e-93,0.439090347063947,0.786,0.803,9.16980959150578e-89,"0","PTPRCAP"
"FTL",6.31693020720304e-90,0.271598175160341,0.889,0.89,2.11857205289176e-85,"0","FTL"
"LY6E",6.22859315428101e-86,0.446783041461511,0.739,0.706,2.08894557208276e-81,"0","LY6E"
