"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"KCNN3",0,3.46617337180445,0.833,0.126,0,"0","KCNN3"
"C7",0,3.82884369670408,0.994,0.299,0,"0","C7"
"FMO2",0,3.29050688717486,0.839,0.174,0,"0","FMO2"
"SCN7A",0,2.70491596027516,0.998,0.365,0,"0","SCN7A"
"APOD",0,2.88165957345463,0.947,0.343,0,"0","APOD"
"A2M",0,2.2927111661433,0.988,0.5,0,"0","A2M"
"SPARCL1",0,1.77734403747584,1,0.83,0,"0","SPARCL1"
"FXYD6",1.26655516453116e-307,2.50205369002369,0.907,0.349,4.24777271080462e-303,"0","FXYD6"
"CXCL12",1.3827046991408e-289,2.00151533483456,0.992,0.559,4.63731501997843e-285,"0","CXCL12"
"PREX2",3.3987034123897e-285,2.77206666661233,0.707,0.12,1.13985715044726e-280,"0","PREX2"
"FBLN1",4.60990041412611e-285,1.60331529650445,1,0.733,1.54606840088962e-280,"0","FBLN1"
"C6",7.65442455703567e-256,3.90981294408281,0.501,0.034,2.56714090793862e-251,"0","C6"
"ALDH1A1",6.43693243534721e-253,1.96811582562998,0.916,0.365,2.15881840016675e-248,"0","ALDH1A1"
"PLD5",2.92820972793533e-242,4.12532766558859,0.427,0.014,9.82062978554952e-238,"0","PLD5"
"TCF21",6.12983522180933e-240,2.16464078091979,0.925,0.5,2.05582413669041e-235,"0","TCF21"
"MAMDC2",1.15895855178201e-238,2.16501960331708,0.819,0.259,3.88691519096651e-234,"0","MAMDC2"
"NRK",1.02438080146444e-235,2.51552009010407,0.629,0.107,3.43556833195142e-231,"0","NRK"
"DPT",4.33492577783562e-233,1.45266667809196,0.992,0.541,1.45384740737051e-228,"0","DPT"
"EFCC1",6.75594227311547e-228,3.44560116523931,0.509,0.057,2.26580791955747e-223,"0","EFCC1"
"IGF1",6.17158130028961e-224,1.53935322633833,0.945,0.394,2.06982493649113e-219,"0","IGF1"
"PDGFRA",3.40373377615548e-223,1.6170628093552,0.977,0.606,1.14154423384703e-218,"0","PDGFRA"
"OGFRL1",8.16979042078273e-220,1.96833293170169,0.866,0.365,2.73998431132211e-215,"0","OGFRL1"
"TMEM204",1.53724015505149e-216,2.49574485617399,0.749,0.252,5.1555960320117e-212,"0","TMEM204"
"SERPINE2",4.32723011993787e-216,1.73365955568846,0.975,0.543,1.45126643762476e-211,"0","SERPINE2"
"COL15A1",1.32659264681589e-214,2.30488958767632,0.751,0.214,4.44912641889112e-210,"0","COL15A1"
"SLIT2",3.50203695170791e-213,1.77791728699303,0.895,0.382,1.1745131528638e-208,"0","SLIT2"
"SHISA3",2.65458938259413e-210,2.48407876272773,0.723,0.208,8.9029618713442e-206,"0","SHISA3"
"PID1",1.22459436242995e-209,1.53387579517284,0.921,0.408,4.10704457271757e-205,"0","PID1"
"MGP",2.02452520513138e-209,1.35148713840934,1,0.793,6.78985263296961e-205,"0","MGP"
"CYGB",6.14182630906451e-205,1.76748978614029,0.824,0.286,2.05984570753406e-200,"0","CYGB"
"PRKAR2B",4.53233461855308e-203,2.03135184338931,0.737,0.239,1.52005438437033e-198,"0","PRKAR2B"
"GDF10",6.2941346196243e-199,2.83921377892326,0.513,0.073,2.1109268687296e-194,"0","GDF10"
"ADAMTSL3",1.56428836302702e-198,2.04827351151171,0.757,0.254,5.24631031192001e-194,"0","ADAMTSL3"
