"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"TPSAB1",0,6.52812972677127,0.991,0.028,0,"0","TPSAB1"
"TPSB2",0,6.55190263522909,0.997,0.048,0,"0","TPSB2"
"CPA3",0,6.61840696419526,0.966,0.025,0,"0","CPA3"
"CTSG",0,6.56029900034656,0.939,0.027,0,"0","CTSG"
"IL1RL1",0,5.92862818204529,0.821,0.023,0,"0","IL1RL1"
"HPGDS",0,6.4551168215004,0.816,0.028,0,"0","HPGDS"
"KIT",0,6.37311207654173,0.755,0.02,0,"0","KIT"
"HPGD",0,4.81061053120122,0.878,0.145,0,"0","HPGD"
"ADCYAP1",0,6.47422102068639,0.703,0.02,0,"0","ADCYAP1"
"MS4A2",0,6.40177423568062,0.668,0.012,0,"0","MS4A2"
"CMA1",0,6.47095159608869,0.653,0.013,0,"0","CMA1"
"CPM",0,4.27644744717841,0.767,0.129,0,"0","CPM"
"TYROBP",0,1.08532632206891,0.866,0.263,0,"0","TYROBP"
"LTC4S",0,4.92797493830373,0.68,0.082,0,"0","LTC4S"
"PTGS2",0,3.33854370411038,0.763,0.166,0,"0","PTGS2"
"BATF",0,3.29273719496599,0.842,0.247,0,"0","BATF"
"ARHGAP18",0,3.4894550480193,0.824,0.239,0,"0","ARHGAP18"
"RHEX",0,6.19078480636387,0.604,0.022,0,"0","RHEX"
"CLU",0,2.18856301033774,0.749,0.172,0,"0","CLU"
"FCER1G",0,1.80213057712684,0.769,0.197,0,"0","FCER1G"
"LGALS3",0,3.10784044504059,0.95,0.416,0,"0","LGALS3"
"RGS13",0,4.13567987397489,0.569,0.053,0,"0","RGS13"
"SLC18A2",0,6.25648342534473,0.503,0.013,0,"0","SLC18A2"
"FCER1A",0,3.18942523898721,0.525,0.045,0,"0","FCER1A"
"CD9",0,2.03480488164092,0.779,0.3,0,"0","CD9"
"ANKRD28",0,3.10942095327894,0.759,0.284,0,"0","ANKRD28"
"HDC",0,5.76744156029148,0.475,0.012,0,"0","HDC"
"CTNNBL1",0,3.56147202552981,0.668,0.206,0,"0","CTNNBL1"
"ALOX5AP",0,1.41419683745084,0.831,0.383,0,"0","ALOX5AP"
"GATA2",0,5.86169081395194,0.431,0.016,0,"0","GATA2"
"AC106739.1",0,5.71522970927404,0.414,0.015,0,"0","AC106739.1"
"CALB2",0,6.38786023354832,0.406,0.009,0,"0","CALB2"
"AREG",0,3.52653746931586,0.737,0.347,0,"0","AREG"
"RAB27B",0,4.87384446209023,0.418,0.03,0,"0","RAB27B"
"ANXA1",0,1.91540398520094,0.908,0.523,0,"0","ANXA1"
"LAPTM4A",0,2.19743896162669,0.791,0.416,0,"0","LAPTM4A"
"CAPG",0,2.20668670005524,0.657,0.291,0,"0","CAPG"
"VWA5A",0,5.02375697134506,0.405,0.042,0,"0","VWA5A"
"GLUL",0,1.34111845239516,0.791,0.451,0,"0","GLUL"
"CD63",0,1.32870488576553,0.89,0.556,0,"0","CD63"
"CPEB4",0,2.41273390259017,0.63,0.297,0,"0","CPEB4"
"AL157895.1",0,6.70643505740236,0.333,0.005,0,"0","AL157895.1"
"USP53",0,2.67505391152011,0.562,0.241,0,"0","USP53"
"S100A4",0,0.923573994750856,0.939,0.624,0,"0","S100A4"
"GCSAML",0,6.55994789024548,0.311,0.006,0,"0","GCSAML"
"CTTNBP2",0,4.36523290304093,0.351,0.048,0,"0","CTTNBP2"
"EGR1",0,2.73709588454937,0.767,0.472,0,"0","EGR1"
"SGK1",0,2.12189632239036,0.687,0.394,0,"0","SGK1"
"EMP3",0,1.63084290386231,0.793,0.501,0,"0","EMP3"
"CD69",0,1.56885406751686,0.783,0.492,0,"0","CD69"
"MT2A",0,1.04131602041073,0.816,0.525,0,"0","MT2A"
"IL18R1",0,2.31248070700772,0.397,0.107,0,"0","IL18R1"
"CAVIN2",0,3.00895123529332,0.346,0.062,0,"0","CAVIN2"
"TMOD1",0,4.76943887423587,0.308,0.03,0,"0","TMOD1"
"TPSD1",0,6.28823096366198,0.283,0.006,0,"0","TPSD1"
"ALAS1",0,3.31481159986731,0.405,0.129,0,"0","ALAS1"
"LMNA",0,1.53062142689974,0.746,0.471,0,"0","LMNA"
"SRGN",0,1.66193881193044,0.991,0.717,0,"0","SRGN"
"SELENOK",0,2.56175953805673,0.834,0.569,0,"0","SELENOK"
"CSF1",0,3.04734778391404,0.392,0.128,0,"0","CSF1"
"TNFAIP3",0,1.17740127636382,0.843,0.581,0,"0","TNFAIP3"
"DBI",0,2.02328630627054,0.804,0.546,0,"0","DBI"
"TNIK",0,2.69168721332247,0.347,0.098,0,"0","TNIK"
"MEG3",0,2.73318694695736,0.346,0.099,0,"0","MEG3"
"FDX1",0,3.12299380759254,0.47,0.227,0,"0","FDX1"
"DLC1",0,3.18580541123002,0.322,0.082,0,"0","DLC1"
"RGS2",0,1.41305036198098,0.876,0.639,0,"0","RGS2"
"RHOH",0,1.38005628699538,0.552,0.316,0,"0","RHOH"
"STXBP6",0,4.21693382920781,0.277,0.044,0,"0","STXBP6"
"LPCAT2",0,2.64069491220659,0.342,0.111,0,"0","LPCAT2"
"BIRC3",0,1.71993545554104,0.698,0.467,0,"0","BIRC3"
"CCL2",0,3.59728991028505,0.337,0.107,0,"0","CCL2"
"TXN",0,1.47544852108887,0.792,0.568,0,"0","TXN"
"S100A6",0,1.19262463329582,0.991,0.769,0,"0","S100A6"
"SLC26A2",0,2.96687277024855,0.322,0.101,0,"0","SLC26A2"
"BMP2K",0,2.59818188045415,0.363,0.143,0,"0","BMP2K"
"EGR3",0,2.28279642328833,0.39,0.173,0,"0","EGR3"
"CCL4",0,2.83421486884901,0.525,0.309,0,"0","CCL4"
"ASAH1",0,1.22521265695501,0.572,0.358,0,"0","ASAH1"
"SQSTM1",0,1.55234798427828,0.749,0.536,0,"0","SQSTM1"
"NR4A3",0,2.18034775775166,0.404,0.193,0,"0","NR4A3"
"PEBP1",0,1.559634434813,0.707,0.498,0,"0","PEBP1"
"VIM",0,1.27932087811433,0.983,0.777,0,"0","VIM"
"NFKBIZ",0,1.35526219074766,0.701,0.497,0,"0","NFKBIZ"
"RNF145",0,1.96371120291739,0.58,0.376,0,"0","RNF145"
"PRPS2",0,3.58694907391626,0.307,0.105,0,"0","PRPS2"
"RPL36AL",0,1.79996274955586,0.938,0.737,0,"0","RPL36AL"
"RAB32",0,2.60610884600896,0.333,0.133,0,"0","RAB32"
"CLIC1",0,1.50330172123803,0.896,0.697,0,"0","CLIC1"
"AHR",0,2.12217833400644,0.482,0.283,0,"0","AHR"
"DAD1",0,1.8261320602342,0.648,0.45,0,"0","DAD1"
"FOSB",0,1.44953042713948,0.856,0.658,0,"0","FOSB"
"RHOBTB3",0,1.97591503628397,0.329,0.132,0,"0","RHOBTB3"
"RAC2",0,1.07318445304417,0.692,0.495,0,"0","RAC2"
"TNFRSF4",0,1.11935648551361,0.284,0.089,0,"0","TNFRSF4"
"ABCA1",0,2.17288342707165,0.332,0.138,0,"0","ABCA1"
"ACSL4",0,2.01845725169192,0.414,0.22,0,"0","ACSL4"
"GPX4",0,1.43267290796045,0.746,0.552,0,"0","GPX4"
"STX3",0,2.1017570928751,0.289,0.099,0,"0","STX3"
"ADGRE2",0,2.01171084055233,0.255,0.072,0,"0","ADGRE2"
"SMYD3",0,3.02870694739281,0.263,0.082,0,"0","SMYD3"
"HSPA1B",0,0.734438210942708,0.928,0.749,0,"0","HSPA1B"
"COX17",0,1.7687351708599,0.565,0.386,0,"0","COX17"
"SDCBP",0,1.29430102430342,0.724,0.545,0,"0","SDCBP"
"FXYD5",0,1.43091669848148,0.705,0.534,0,"0","FXYD5"
"PHF20",0,1.71401674312665,0.542,0.379,0,"0","PHF20"
"REL",0,0.869437825205876,0.782,0.624,0,"0","REL"
"RBM8A",0,1.57700141922601,0.724,0.57,0,"0","RBM8A"
"NDUFA4",0,1.44532697561489,0.765,0.623,0,"0","NDUFA4"
"RPL22",0,0.933579458189094,0.978,0.84,0,"0","RPL22"
"RPL5",0,0.968451515164177,0.982,0.846,0,"0","RPL5"
"SRP14",0,1.07396781748282,0.902,0.769,0,"0","SRP14"
"GADD45B",0,1.44737855479225,0.759,0.63,0,"0","GADD45B"
"RPL24",0,1.2512844060559,0.988,0.86,0,"0","RPL24"
"DNAJB1",0,1.05619462356662,0.938,0.811,0,"0","DNAJB1"
"RPS13",0,0.903884369066591,0.985,0.859,0,"0","RPS13"
"CD44",0,1.1817141810309,0.774,0.648,0,"0","CD44"
"ITM2B",0,0.545628676531151,0.926,0.8,0,"0","ITM2B"
"RPS4X",0,0.725912134572554,0.982,0.857,0,"0","RPS4X"
"RPL23",0,1.37441811378941,0.975,0.85,0,"0","RPL23"
"SH3BGRL3",0,0.947518396724579,0.931,0.812,0,"0","SH3BGRL3"
"RPL7",0,0.789117509515361,0.942,0.824,0,"0","RPL7"
"RPS21",0,0.636600087349806,0.976,0.858,0,"0","RPS21"
"ATP5MC2",0,1.09660044149049,0.792,0.675,0,"0","ATP5MC2"
"UBB",0,1.24667615331912,0.946,0.829,0,"0","UBB"
"NFKBIA",0,1.10177867183811,0.902,0.787,0,"0","NFKBIA"
"RPS7",0,0.543223424995579,0.979,0.866,0,"0","RPS7"
"RPL14",0,0.692397910088662,0.974,0.861,0,"0","RPL14"
"RPL35A",0,0.988126979950549,0.991,0.878,0,"0","RPL35A"
"RPL31",0,0.925659247280303,0.937,0.825,0,"0","RPL31"
"RPS23",0,0.618716405589321,0.991,0.879,0,"0","RPS23"
"RPL18",0,0.634292738352573,0.982,0.871,0,"0","RPL18"
"RPL12",0,0.797917170560754,0.992,0.883,0,"0","RPL12"
"RPL9",0,0.559018641871424,0.974,0.867,0,"0","RPL9"
"RPS20",0,0.907145805195924,0.971,0.864,0,"0","RPS20"
"RPL26",0,0.777059281672574,0.988,0.881,0,"0","RPL26"
"RPS25",0,1.01898219386905,0.985,0.879,0,"0","RPS25"
"RPL7A",0,0.574604345809304,0.978,0.873,0,"0","RPL7A"
"RPS8",0,0.658029317722082,0.994,0.893,0,"0","RPS8"
"HSPE1",0,1.31705463212858,0.836,0.736,0,"0","HSPE1"
"RPS28",0,0.998564121239555,0.996,0.896,0,"0","RPS28"
"OST4",0,0.994906511048968,0.787,0.689,0,"0","OST4"
"RPL37A",0,1.20943594870894,0.989,0.891,0,"0","RPL37A"
"RPL32",0,0.678385921428365,0.994,0.896,0,"0","RPL32"
"RPL21",0,0.741046634990474,0.988,0.892,0,"0","RPL21"
"RPL38",0,0.880508293274684,0.974,0.878,0,"0","RPL38"
"RPL11",0,0.870326306663459,0.994,0.899,0,"0","RPL11"
"RPS27A",0,0.996375538608296,0.994,0.9,0,"0","RPS27A"
"RPS14",0,0.502780447915613,0.991,0.897,0,"0","RPS14"
"RPL10",0,0.72064380435955,0.994,0.901,0,"0","RPL10"
"RPS12",0,0.408351384480166,0.993,0.901,0,"0","RPS12"
"RPL39",0,0.838224035202179,0.995,0.903,0,"0","RPL39"
"RPLP2",0,0.449737436988064,0.991,0.9,0,"0","RPLP2"
"RPS24",0,0.823774402383526,0.992,0.901,0,"0","RPS24"
"RPL34",0,1.32523973428802,0.996,0.907,0,"0","RPL34"
"RPS29",0,0.946868773536979,0.991,0.902,0,"0","RPS29"
"RPS11",0,0.822522428917273,0.975,0.888,0,"0","RPS11"
"RPL30",0,0.977322840716244,0.995,0.91,0,"0","RPL30"
"PTMA",0,1.21199117452698,0.998,0.917,0,"0","PTMA"
"FAU",0,1.08850403902441,0.994,0.913,0,"0","FAU"
"RPL27A",0,0.571696154744734,0.967,0.887,0,"0","RPL27A"
"RPL37",0,0.760151099562943,0.992,0.917,0,"0","RPL37"
"RPS27",0,0.500020691828052,0.993,0.928,0,"0","RPS27"
"HSP90AB1",0,0.675897684974339,0.947,0.882,0,"0","HSP90AB1"
"FTH1",0,1.48548613184554,0.999,0.934,0,"0","FTH1"
"RPL41",0,0.566937855873236,0.997,0.948,0,"0","RPL41"
"H3F3B",0,0.903485723036964,0.987,0.938,0,"0","H3F3B"
"EIF1",0,0.648715510967273,0.973,0.929,0,"0","EIF1"
"MT-ND2",0,0.318607453825522,0.995,0.955,0,"0","MT-ND2"
"MALAT1",0,0.509425167185467,0.999,0.99,0,"0","MALAT1"
"CKLF",1.58133520377511e-306,1.3441349168816,0.565,0.374,5.30348200642095e-302,"0","CKLF"
"SMIM3",4.112725977441e-301,2.45263274338889,0.318,0.135,1.37932603831416e-296,"0","SMIM3"
"COX7C",1.40763127078359e-299,0.78776824407969,0.844,0.753,4.720913755954e-295,"0","COX7C"
"RPL19",2.26171137554522e-297,0.428728452519765,0.989,0.894,7.58532761130356e-293,"0","RPL19"
"NFKB1",3.05122792993052e-295,1.93998819862174,0.486,0.314,1.0233208231401e-290,"0","NFKB1"
"FERMT2",4.93261244172117e-293,2.07712831614005,0.297,0.116,1.65429956070445e-288,"0","FERMT2"
"HSP90AA1",1.38068149587595e-291,0.477871434323927,0.977,0.943,4.63052960086877e-287,"0","HSP90AA1"
"MSRA",6.02030842154722e-291,2.60007591253598,0.27,0.103,2.01909103841851e-286,"0","MSRA"
"ZFAS1",8.20193301644251e-288,1.1276596968859,0.738,0.653,2.75076429505449e-283,"0","ZFAS1"
"HSPH1",4.15246064722739e-287,0.728316792628283,0.799,0.699,1.39265225186712e-282,"0","HSPH1"
"RASGEF1B",1.44801424676101e-286,1.73469515517709,0.458,0.264,4.85635018078709e-282,"0","RASGEF1B"
"RNF130",7.69618284553058e-285,1.66452787464699,0.41,0.215,2.58114580273405e-280,"0","RNF130"
"PLIN2",1.32323177188908e-281,1.14392289674477,0.556,0.36,4.4378547165616e-277,"0","PLIN2"
"DNAJA1",2.58937358290988e-277,0.670259916214306,0.85,0.793,8.68424112236316e-273,"0","DNAJA1"
"TENT5A",5.36982962832217e-275,2.31454120993735,0.393,0.213,1.80093346074669e-270,"0","TENT5A"
"NR4A1",1.62973324768309e-261,1.12569160598256,0.666,0.532,5.46579936607954e-257,"0","NR4A1"
"LACTB",3.60683897892529e-260,1.9543773033271,0.393,0.22,1.20966165675196e-255,"0","LACTB"
"ELL2",1.86637697783872e-258,1.2222755069408,0.502,0.324,6.25945510827551e-254,"0","ELL2"
"SLC44A1",6.54217513262965e-253,2.17284187492565,0.36,0.192,2.19411469598133e-248,"0","SLC44A1"
"SEC61B",8.3177540524675e-252,1.22909356455153,0.624,0.52,2.78960835411655e-247,"0","SEC61B"
"ZEB2",1.98624788030576e-251,1.14549211230173,0.54,0.355,6.66147814096946e-247,"0","ZEB2"
"RGS10",1.45697538788318e-247,1.48635025964749,0.521,0.369,4.88640405588262e-243,"0","RGS10"
"BTK",2.03865063917275e-247,2.37984100867341,0.274,0.116,6.83722651365756e-243,"0","BTK"
"SERPINB1",3.72071881012494e-247,1.08761819734149,0.575,0.43,1.2478546745397e-242,"0","SERPINB1"
"SAMSN1",2.24108866437845e-242,0.413401127344722,0.628,0.44,7.51616316259245e-238,"0","SAMSN1"
"PRDX6",2.81947837146606e-240,1.28291140047824,0.571,0.455,9.45596656222286e-236,"0","PRDX6"
"BHLHE40",1.00605189531479e-237,1.50144720120158,0.483,0.317,3.37409684650675e-233,"0","BHLHE40"
"EEF1B2",1.28798219908313e-235,0.517004941817399,0.902,0.779,4.319634699285e-231,"0","EEF1B2"
"IL18",2.08455419935281e-229,2.0332968621599,0.275,0.12,6.99117787378944e-225,"0","IL18"
"YWHAE",4.49756599808308e-229,1.08558386302885,0.613,0.501,1.5083936844371e-224,"0","YWHAE"
"HSPA1A",2.64402966712926e-223,0.318788002820621,0.954,0.807,8.86754669761812e-219,"0","HSPA1A"
"RPS4Y1",3.02764961370959e-223,0.902239023455558,0.706,0.601,1.01541312744592e-218,"0","RPS4Y1"
