"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"IL7R",0,1.48161661917216,0.966,0.556,0,"0","IL7R"
"RPL9",0,1.15008455676232,0.983,0.837,0,"0","RPL9"
"RPL39",0,0.986872738569359,0.987,0.854,0,"0","RPL39"
"RPS25",0,0.975279304906519,0.985,0.856,0,"0","RPS25"
"RPL38",0,0.990467959259659,0.985,0.859,0,"0","RPL38"
"RPL3",0,1.09819195504638,0.985,0.859,0,"0","RPL3"
"RPS3",0,1.04572224474903,0.989,0.869,0,"0","RPS3"
"RPS14",0,1.11439560888404,0.988,0.87,0,"0","RPS14"
"RPL21",0,1.04928659345484,0.984,0.867,0,"0","RPL21"
"RPL30",0,1.11109274301135,0.988,0.875,0,"0","RPL30"
"RPL34",0,1.16662598717897,0.994,0.883,0,"0","RPL34"
"RPS27A",0,1.09581176236547,0.992,0.885,0,"0","RPS27A"
"RPL32",0,1.11379666026127,0.991,0.886,0,"0","RPL32"
"RPL11",0,0.973225290418219,0.991,0.89,0,"0","RPL11"
"RPL10",0,1.02843679791435,0.995,0.894,0,"0","RPL10"
"RPS12",0,1.29051568708458,0.993,0.899,0,"0","RPS12"
"RPS18",0,0.966799749078245,0.991,0.916,0,"0","RPS18"
"RPS27",0,0.998117296897711,0.996,0.925,0,"0","RPS27"
"TPT1",0,1.0542274483483,1,0.937,0,"0","TPT1"
"RPL13",0,1.03608831250725,0.995,0.938,0,"0","RPL13"
"RPS29",1.5482712371845e-303,0.973262990899126,0.99,0.884,5.19259207526938e-299,"0","RPS29"
"RPL35A",4.37106732103552e-301,0.952904940415198,0.989,0.85,1.46596855812889e-296,"0","RPL35A"
"RPS6",5.44797968650355e-298,1.02339270417173,0.989,0.88,1.82714342725956e-293,"0","RPS6"
"RPLP2",1.79122265886649e-290,0.896183414943706,0.989,0.888,6.00740255330642e-286,"0","RPLP2"
"KLF2",3.26990185413242e-287,2.15860881163084,0.752,0.289,1.09665968383893e-282,"0","KLF2"
"RPS13",9.7369036534058e-286,1.04475123803055,0.98,0.82,3.26556274727924e-281,"0","RPS13"
"RPL36",2.4295397966563e-278,0.870273052552432,0.984,0.87,8.14819057002589e-274,"0","RPL36"
"RPL37",3.78646996376446e-277,0.845062014047524,0.992,0.894,1.26990629644732e-272,"0","RPL37"
"RPS8",3.42087692197633e-272,0.940764941597144,0.991,0.893,1.14729370209242e-267,"0","RPS8"
"EEF1A1",8.42155516981705e-272,0.854937846447378,0.999,0.942,2.82442117285324e-267,"0","EEF1A1"
"RPL41",4.84985703280773e-271,0.796732016401476,0.997,0.92,1.62654505166306e-266,"0","RPL41"
"RPL19",8.83344094048253e-266,0.870242044576861,0.991,0.884,2.96255942261903e-261,"0","RPL19"
"RPL23A",1.92534687583279e-263,0.861003567471594,0.986,0.863,6.45722835216803e-259,"0","RPL23A"
"RPS3A",2.77765895111415e-261,1.0183147196227,0.982,0.856,9.31571259024662e-257,"0","RPS3A"
"RPS28",4.1584049512518e-261,0.845369445989609,0.986,0.867,1.39464585255083e-256,"0","RPS28"
"RPL13A",1.13466742538616e-258,0.806623336200212,0.993,0.91,3.80544761126011e-254,"0","RPL13A"
"RPS9",5.22007170491694e-255,0.837444690451307,0.989,0.866,1.75070764839505e-250,"0","RPS9"
"EEF1B2",1.09908301655682e-249,1.16450984675836,0.958,0.741,3.68610462092826e-245,"0","EEF1B2"
"RPS21",1.76733188464797e-249,0.892143020923698,0.974,0.827,5.92727767473236e-245,"0","RPS21"
"RPS20",1.80350756505091e-249,0.882757094204317,0.987,0.848,6.04860367166774e-245,"0","RPS20"
